Niccolo_Morelli_Right_1.c3d  



Time(s):	Emg_4(μV):
0.5265	15.60974
0.527	40.2832
0.5275	66.87012
0.528	90.73792
0.5285	115.51208
0.529	124.57581
0.5295	139.98413
0.53	142.50183
0.5305	140.48767
0.531	144.91882
0.5315	148.3429
0.532	143.71033
0.5325	140.8905
0.533	126.28784
0.5335	117.92908
0.534	94.56482
0.5345	75.02747
0.535	60.62622
0.5355	46.82922
0.536	46.5271
0.5365	44.71436
0.537	40.48462
0.5375	40.98816
0.538	37.16125
0.5385	31.4209
0.539	21.55151
0.5395	13.09204
0.54	11.68213
0.5405	-6.54602
0.541	-17.22107
0.5415	-28.29895
0.542	-29.30603
0.5425	-28.70178
0.543	-35.2478
0.5435	-40.2832
0.544	-33.9386
0.5445	-58.10852
0.545	-93.85986
0.5455	-120.7489
0.546	-137.46643
0.5465	-140.08484
0.547	-137.46643
0.5475	-129.71191
0.548	-119.23828
0.5485	-109.3689
0.549	-92.55066
0.5495	-73.41614
0.55	-53.97949
0.5505	-32.93152
0.551	-3.92761
0.5515	15.1062
0.552	38.47046
0.5525	47.13135
0.553	62.64038
0.5535	76.33667
0.554	84.49402
0.5545	86.70959
0.555	84.09119
0.5555	84.09119
0.556	78.75366
0.5565	80.76782
0.557	87.41455
0.5575	83.18481
0.558	75.02747
0.5585	65.3595
0.559	55.79224
0.5595	44.91577
0.56	40.1825
0.5605	31.82373
0.561	19.23523
0.5615	14.70337
0.562	11.98425
0.5625	7.65381
0.563	10.17151
0.5635	15.1062
0.564	21.3501
0.5645	21.55151
0.565	24.67346
0.5655	21.24939
0.566	24.06921
0.5665	28.39966
0.567	28.80249
0.5675	28.39966
0.568	25.27771
0.5685	30.71594
0.569	26.68762
0.5695	31.82373
0.57	22.25647
0.5705	19.63806
0.571	8.96301
0.5715	-9.97009
0.572	-28.60107
0.5725	-47.13135
0.573	-60.12268
0.5735	-73.51685
0.574	-92.44995
0.5745	-99.2981
0.575	-105.03845
0.5755	-107.75757
0.576	-95.06836
0.5765	-82.17773
0.577	-65.56091
0.5775	-48.94409
0.578	-31.21948
0.5785	-9.46655
0.579	3.22266
0.5795	27.89612
0.58	43.00232
0.5805	52.26746
0.581	53.67737
0.5815	58.51135
0.582	62.13684
0.5825	66.06445
0.583	62.8418
0.5835	60.52551
0.584	55.08728
0.5845	32.42798
0.585	-3.12195
0.5855	-42.8009
0.586	-67.37366
0.5865	-85.5011
0.587	-85.29968
0.5875	-97.08252
0.588	-101.11084
0.5885	-100.80872
0.589	-91.24146
0.5895	-86.30676
0.59	-71.90552
0.5905	-47.03064
0.591	-26.3855
0.5915	-2.01416
0.592	22.55859
0.5925	42.90161
0.593	61.53259
0.5935	80.06287
0.594	94.46411
0.5945	100.50659
0.595	114.20288
0.5955	118.43262
0.596	121.45386
0.5965	118.93616
0.597	118.13049
0.5975	107.55615
0.598	105.13916
0.5985	93.15491
0.599	85.90393
0.5995	62.13684
0.6	26.3855
0.6005	-8.05664
0.601	-41.99524
0.6015	-76.23596
0.602	-109.67102
0.6025	-134.14307
0.603	-135.04944
0.6035	-129.5105
0.604	-114.90784
0.6045	-99.09668
0.605	-80.56641
0.6055	-52.8717
0.606	-40.1825
0.6065	-22.55859
0.607	1.81274
0.6075	24.16992
0.608	36.75842
0.6085	50.15259
0.609	59.31702
0.6095	69.38782
0.61	69.08569
0.6105	61.23047
0.611	58.81348
0.6115	50.2533
0.612	42.19666
0.6125	27.89612
0.613	10.77576
0.6135	-13.29346
0.614	-35.44922
0.6145	-48.13843
0.615	-66.76941
0.6155	-96.67969
0.616	-107.25403
0.6165	-111.38306
0.617	-115.91492
0.6175	-116.41846
0.618	-114.4043
0.6185	-118.43262
0.619	-114.80713
0.6195	-106.34766
0.62	-88.0188
0.6205	-59.92126
0.621	-32.83081
0.6215	0.80566
0.622	34.34143
0.6225	69.28711
0.623	105.6427
0.6235	127.19421
0.624	153.27759
0.6245	170.59937
0.625	179.26025
0.6255	187.21619
0.626	190.33813
0.6265	180.56946
