Niccolo_Morelli_Left_1.c3d  



Time(s):	Emg_1(μV):
0.4885	13.49487
0.489	6.2439
0.4895	12.38708
0.49	6.3446
0.4905	12.5885
0.491	14.30054
0.4915	10.37292
0.492	8.8623
0.4925	7.25098
0.493	7.95593
0.4935	4.73328
0.494	-0.30212
0.4945	-3.32336
0.495	1.3092
0.4955	-2.41699
0.496	-6.04248
0.4965	-3.22266
0.497	-5.23682
0.4975	-7.45239
0.498	-6.04248
0.4985	-1.2085
0.499	-4.33044
0.4995	-4.73328
0.5	-0.40283
0.5005	2.81982
0.501	9.46655
0.5015	14.80408
0.502	32.62939
0.5025	45.11719
0.503	49.24622
0.5035	43.70728
0.504	41.69312
0.5045	39.47754
0.505	33.33435
0.5055	33.9386
0.506	42.59949
0.5065	36.4563
0.507	32.12585
0.5075	31.62231
0.508	25.78125
0.5085	24.16992
0.509	26.3855
0.5095	25.57983
0.51	22.15576
0.5105	13.797
0.511	6.3446
0.5115	5.23682
0.512	5.94177
0.5125	9.66797
0.513	9.66797
0.5135	-2.92053
0.514	-13.797
0.5145	-28.39966
0.515	-40.68604
0.5155	-49.54834
0.516	-47.33276
0.5165	-47.43347
0.517	-34.44214
0.5175	-26.78833
0.518	-22.45789
0.5185	-15.20691
0.519	-11.68213
0.5195	-6.74744
0.52	-1.40991
0.5205	7.65381
0.521	13.19275
0.5215	13.797
0.522	17.82532
0.5225	13.89771
0.523	12.89062
0.5235	2.5177
0.524	-5.63965
0.5245	-3.22266
0.525	-1.61133
0.5255	0.50354
0.526	1.61133
0.5265	8.15735
0.527	18.8324
0.5275	20.54443
0.528	32.7301
0.5285	38.47046
0.529	31.72302
0.5295	25.98267
0.53	20.44373
0.5305	19.94019
0.531	24.77417
0.5315	18.8324
0.532	28.39966
0.5325	37.86621
0.533	42.19666
0.5335	47.7356
0.534	51.36108
0.5345	55.79224
0.535	57.70569
0.5355	61.83472
0.536	62.74109
0.5365	54.78516
0.537	53.37524
0.5375	49.85046
0.538	41.18958
0.5385	30.61523
0.539	28.70178
0.5395	28.60107
0.54	19.63806
0.5405	11.98425
0.541	-10.87646
0.5415	-32.02515
0.542	-44.91577
0.5425	-48.84338
0.543	-52.06604
0.5435	-51.86462
0.544	-50.2533
0.5445	-36.35559
0.545	-26.28479
0.5455	-17.6239
0.546	-8.66089
0.5465	-4.93469
0.547	-3.32336
0.5475	0.50354
0.548	5.0354
0.5485	4.02832
0.549	2.21558
0.5495	2.11487
0.55	8.45947
0.5505	13.59558
0.551	9.97009
0.5515	26.78833
0.552	27.19116
0.5525	19.53735
0.553	13.39417
0.5535	18.93311
0.554	20.04089
0.5545	19.23523
0.555	21.3501
0.5555	18.8324
0.556	14.09912
0.5565	16.01257
0.557	15.81116
0.5575	18.12744
0.558	17.22107
0.5585	14.30054
0.559	9.56726
0.5595	3.7262
0.56	5.84106
0.5605	5.84106
0.561	4.73328
0.5615	7.45239
0.562	10.47363
0.5625	7.65381
0.563	6.84814
0.5635	7.85522
0.564	7.15027
0.5645	9.76868
0.565	13.29346
0.5655	13.59558
0.566	12.5885
0.5665	18.93311
0.567	15.71045
0.5675	16.51611
0.568	25.47913
0.5685	25.98267
0.569	24.67346
0.5695	26.18408
0.57	27.89612
0.5705	23.66638
0.571	22.96143
0.5715	18.73169
0.572	16.11328
0.5725	8.66089
0.573	0.30212
0.5735	-3.32336
0.574	-3.02124
0.5745	-3.12195
0.575	-1.3092
0.5755	-0.30212
0.576	-9.36584
0.5765	-9.56726
0.577	-7.65381
0.5775	-6.04248
0.578	-8.25806
0.5785	-3.42407
0.579	-3.52478
0.5795	-10.27222
0.58	-11.98425
0.5805	-16.01257
0.581	-12.78992
0.5815	-10.47363
0.582	-7.5531
0.5825	-4.53186
0.583	0.40283
0.5835	-0.80566
0.584	1.00708
0.5845	-1.51062
0.585	-1.71204
0.5855	-5.74036
0.586	-3.32336
0.5865	0.60425
0.587	5.94177
0.5875	6.54602
0.588	4.12903
0.5885	-1.40991
0.589	1.2085
0.5895	12.5885
0.59	13.49487
0.5905	20.44373
0.591	13.49487
0.5915	12.28638
0.592	12.5885
0.5925	15.00549
0.593	19.23523
0.5935	24.97559
0.594	27.79541
0.5945	28.70178
0.595	23.16284
0.5955	20.04089
0.596	15.40833
0.5965	6.64673
0.597	12.89062
0.5975	5.84106
0.598	3.92761
0.5985	0.60425
0.599	-2.92053
0.5995	1.2085
0.6	2.31628
0.6005	7.65381
0.601	-2.92053
